Faktor/Schulform,Faktor,Geräte je 100 Schüler
Förderschule,Desktop-Rechner,18.1
Gesamtschule,Desktop-Rechner,8.3
Grundschule,Desktop-Rechner,8.8
Gymnasium,Desktop-Rechner,9.4
Hauptschule,Desktop-Rechner,15.9
Realschule,Desktop-Rechner,10
Sekundarschule,Desktop-Rechner,12.8
Förderschule,Laptops,4.2
Gesamtschule,Laptops,3.1
Grundschule,Laptops,3.1
Gymnasium,Laptops,3.4
Hauptschule,Laptops,4
Realschule,Laptops,2.7
Sekundarschule,Laptops,5.9
Förderschule,Tablets,8
Gesamtschule,Tablets,7.8
Grundschule,Tablets,8.6
Gymnasium,Tablets,8
Hauptschule,Tablets,6.5
Realschule,Tablets,5.9
Sekundarschule,Tablets,11.3
Förderschule,Whiteboards,1.3
Gesamtschule,Whiteboards,1.5
Grundschule,Whiteboards,0.9
Gymnasium,Whiteboards,1.3
Hauptschule,Whiteboards,1.5
Realschule,Whiteboards,1.2
Sekundarschule,Whiteboards,2.8
