Gemeinde/Stadt,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro,Niederschlagswassergebührensatz in Euro,Schmutzwassergebührensatz in Euro,Sondergebühren NW in Euro,Grundgebühr jährlich in Euro,BdSt-Musterhaushalt Gesamtbelastung 2019 in Euro,Veränderung zum Vorjahr,Fernsehstudio,Hörfunk,Schmutzwassergebührensatz Durchschnitt in Euro,Niederschlagswassergebührensatz Durchschnitt in Euro,Sondergebühren NW Durchschnitt in Euro,Grundgebühr jährlich in Euro Durchschnitt,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro Durchschnitt,BdSt-Musterhaushalt Gesamtbelastung 2019 in Euro Durchschnitt,Veränderung zum Vorjahr Durchschnitt,Schmutzwassergebühr im Vergleich,Vergleich Schmutzwasser Text,Niederschlagsgebühren im Vergleich,Vergleich Schmutzwasser Text1,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro Vergleich zum Durchschnitt,X.1
Aachen,715.1,1.07,2.88,null,null,707.3,0.011027852,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-4.36707587,unter dem Durchschnitt,25.73895317,über dem Durchschnitt,-1.568373475,unter dem Durchschnitt
Ahaus,536,0.4,2.42,null,null,543.3,-0.013436407,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-19.64177903,unter dem Durchschnitt,-52.99478386,unter dem Durchschnitt,-26.2210155,unter dem Durchschnitt
Ahlen,587.3,0.61,2.54,null,null,576,0.019618056,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-15.65707386,unter dem Durchschnitt,-28.31704539,unter dem Durchschnitt,-19.15970597,unter dem Durchschnitt
Aldenhoven,917.9,0.83,4.05,null,null,921.2,-0.003582284,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,34.48379956,über dem Durchschnitt,-2.464176509,unter dem Durchschnitt,26.34651096,über dem Durchschnitt
Alfter,884.8,1.36,3.54,null,null,884.8,0,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,17.54880258,über dem Durchschnitt,59.81773488,über dem Durchschnitt,21.79038337,über dem Durchschnitt
Alpen,958.8,1.16,4.04,null,null,994.7,-0.036091284,Duisburg,Düsseldorf ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,34.15174079,über dem Durchschnitt,36.31512681,über dem Durchschnitt,31.97628795,über dem Durchschnitt
Alsdorf,924.9,1.33,3.76,null,null,924.9,0,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,24.85409539,über dem Durchschnitt,56.29234367,über dem Durchschnitt,27.31004247,über dem Durchschnitt
Altena,830.9,1.13,3.42,null,null,830.9,0,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,13.5640974,über dem Durchschnitt,32.7897356,über dem Durchschnitt,14.37119071,über dem Durchschnitt
Altenbeken,817.3,0.41,3.52,null,60,817.3,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,16.88468505,über dem Durchschnitt,-51.81965346,unter dem Durchschnitt,12.49918663,über dem Durchschnitt
Altenberge,703.6,0.52,3.18,null,null,627,0.122169059,Münster ,Münster ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,5.59468706,über dem Durchschnitt,-38.89321902,unter dem Durchschnitt,-3.151318106,unter dem Durchschnitt
